"task"	"profile"	"context"	"memory_uid"	"fixture_id"	"locator"	"audiences"	"verified"	"impact_en"	"impact_ko"
"2"	"task-2-proposal-authority"	"advisor1/structure"	"44249c8a-e84f-5c20-a9cd-a55457e98511"	"T2-L-001"	"structure/problem"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor1/structure"	"21371c6c-c74f-5791-8f9b-6d099306bfb5"	"T2-L-070"	"structure/two-sentence-opening-reserve"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor1/structure"	"f69ea80c-0d56-5fe8-9d24-8793eefa6643"	"T2-L-002"	"structure/research-question-position"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor1/structure"	"18ebdcbc-cf5a-5e6c-b2cd-b4cd07d7e59e"	"T2-L-011"	"structure/interaction-step-visual"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor1/structure"	"5ab99a77-8836-50cf-8377-fdd23a208bc4"	"T2-L-071"	"structure/interaction-transition-visual"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor1/structure"	"b9b7932b-85c1-5a14-80f7-0983dbf22380"	"T2-L-015"	"structure/masters-timeline-phases"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor1/structure"	"fc0a3a72-2da2-5843-be3a-a4ff2adf8fac"	"T2-L-072"	"structure/masters-timeline-deliverables"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor1/structure"	"2f7092a7-2625-5d27-bd76-a13ee5809cc2"	"T2-L-017"	"structure/gap-contribution-link"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor1/structure"	"a1857f07-36cd-5a6c-946d-a308e712e9eb"	"T2-L-018"	"structure/descriptive-subheadings"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor1/structure"	"895b5ac9-1aa4-51d2-b89a-94e9fe5b869d"	"T2-L-083"	"structure/subheading-problem-response"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor1/structure"	"3005f4c5-e17b-531b-b9bf-c9d69411c71f"	"T2-L-084"	"structure/subheading-next-steps"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor1/structure"	"4913f63e-ceb9-587a-ade9-494fc8f28849"	"T2-L-024"	"structure/preliminary-result-placement"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor1/structure"	"8ecaec22-7c25-5a39-a85b-56db9c3b607e"	"T2-L-054"	"structure/reviewer-two-sentence-scan"	"[]"	"null"	""	""
"2"	"task-2-proposal-authority"	"advisor1/structure"	"a4536b84-40f2-57db-84e4-024c97c9fecb"	"T2-L-080"	"structure/late-problem-scan-cost"	"[]"	"null"	""	""
